DomainID	PDB	SCOPID	SCOPClass	Length	Suprekingdom	TaxaID	TaxaName
d1dy5a_	1dy5	d.5.1.1	Alpha and beta (a+b)	124	eukaryota	9913	Bos taurus
d1dzfa1	1dzf	c.52.3.1	Alpha and beta (a/b)	139	eukaryota	559292	Saccharomyces cerevisiae S288C
d1dzfa2	1dzf	d.78.1.1	Alpha and beta (a+b)	72	eukaryota	559292	Saccharomyces cerevisiae S288C
d1e44b_	1e44	b.101.1.1	All beta	96	bacteria	562	Escherichia coli
d1e58a_	1e58	c.60.1.1	Alpha and beta (a/b)	247	bacteria	83333	Escherichia coli K-12
d1e7la1	1e7l	a.140.4.1	All alpha	54	viruses	10665	Escherichia virus T4
d1e8ca1	1e8c	c.98.1.1	Alpha and beta (a/b)	101	bacteria	562	Escherichia coli
d1eb6a_	1eb6	d.92.1.12	Alpha and beta (a+b)	177	eukaryota	5062	Aspergillus oryzae
d1ecwa_	1ecw	a.61.1.1	All alpha	114	viruses	11723	Simian immunodeficiency virus
d1eexb_	1eex	c.51.3.1	Alpha and beta (a/b)	178	bacteria	571	Klebsiella oxytoca
d1eexg_	1eex	a.23.2.1	All alpha	137	bacteria	571	Klebsiella oxytoca
d1ef1c_	1ef1	a.137.5.1	All alpha	90	eukaryota	9606	Homo sapiens
d1egwa_	1egw	d.88.1.1	Alpha and beta (a+b)	71	eukaryota	9606	Homo sapiens
d1ei5a1	1ei5	b.61.3.1	All beta	82	bacteria	529	Ochrobactrum anthropi
d1ei7a_	1ei7	a.24.5.1	All alpha	158	viruses	12242	Tobacco mosaic virus
d1el6a_	1el6	d.182.1.1	Alpha and beta (a+b)	208	viruses	10665	Escherichia virus T4
d1eu1a1	1eu1	b.52.2.2	All beta	155	bacteria	1063	Rhodobacter sphaeroides
d1eu1a2	1eu1	c.81.1.1	Alpha and beta (a/b)	612	bacteria	1063	Rhodobacter sphaeroides
d1euwa_	1euw	b.85.4.1	All beta	136	bacteria	562	Escherichia coli
d1ewfa1	1ewf	d.83.1.1	Alpha and beta (a+b)	217	eukaryota	9606	Homo sapiens
d1ezga_	1ezg	b.80.2.1	All beta	82	eukaryota	7067	Tenebrio molitor
d1f0la1	1f0l	b.2.1.1	All beta	155	bacteria	1717	Corynebacterium diphtheriae
d1f0la3	1f0l	f.1.2.1	Membrane and cell surface proteins and peptides	178	bacteria	1717	Corynebacterium diphtheriae
d1f1ea_	1f1e	a.22.1.2	All alpha	151	archaea	2320	Methanopyrus kandleri
d1f1ma_	1f1m	a.24.12.1	All alpha	162	bacteria	139	Borreliella burgdorferi
d1f35a_	1f35	b.94.1.1	All beta	162	eukaryota	10090	Mus musculus
d1f3ua_	1f3u	b.65.1.1	All beta	118	eukaryota	9606	Homo sapiens
d1f3va_	1f3v	d.58.22.1	Alpha and beta (a+b)	158	eukaryota	9606	Homo sapiens
d1f60b_	1f60	d.58.12.1	Alpha and beta (a+b)	90	eukaryota	4932	Saccharomyces cerevisiae
d1f7ua3	1f7u	d.67.2.1	Alpha and beta (a+b)	134	eukaryota	4932	Saccharomyces cerevisiae
d1f86a_	1f86	b.3.4.1	All beta	115	eukaryota	9606	Homo sapiens
d1fcya_	1fcy	a.123.1.1	All alpha	236	eukaryota	9606	Homo sapiens
d1fkma1	1fkm	a.69.2.1	All alpha	194	eukaryota	4932	Saccharomyces cerevisiae
d1fm0d_	1fm0	d.15.3.1	Alpha and beta (a+b)	81	bacteria	562	Escherichia coli
d1fm0e_	1fm0	d.41.5.1	Alpha and beta (a+b)	142	bacteria	562	Escherichia coli
d1fn9a_	1fn9	d.196.1.1	Alpha and beta (a+b)	365	viruses	10891	Reovirus sp.
d1fpoa2	1fpo	a.23.1.1	All alpha	95	bacteria	562	Escherichia coli
d1fs1a1	1fs1	a.158.1.1	All alpha	41	eukaryota	9606	Homo sapiens
d1fsga_	1fsg	c.61.1.1	Alpha and beta (a/b)	233	eukaryota	383379	Toxoplasma gondii RH
d1fx2a_	1fx2	d.58.29.1	Alpha and beta (a+b)	235	eukaryota	5691	Trypanosoma brucei
d1fxka_	1fxk	a.2.5.1	All alpha	107	archaea	145262	Methanothermobacter thermautotrophicus
d1g2ra_	1g2r	d.192.1.1	Alpha and beta (a+b)	94	bacteria	1313	Streptococcus pneumoniae
d1g2ya_	1g2y	a.34.2.1	All alpha	31	eukaryota	10090	Mus musculus
d1g3pa1	1g3p	b.37.1.1	All beta	65	viruses	1977402	Escherichia virus M13
d1g6xa_	1g6x	g.8.1.1	Small proteins	58	eukaryota	9913	Bos taurus
d1g73a_	1g73	a.7.4.1	All alpha	157	eukaryota	9606	Homo sapiens
d1g7sa3	1g7s	c.20.1.1	Alpha and beta (a/b)	131	archaea	145262	Methanothermobacter thermautotrophicus
d1g8ea_	1g8e	a.145.1.1	All alpha	98	bacteria	562	Escherichia coli
d1g8qa_	1g8q	a.135.1.1	All alpha	90	eukaryota	9606	Homo sapiens
d1gcia_	1gci	c.41.1.1	Alpha and beta (a/b)	269	bacteria	1467	Bacillus lentus
d1gd8a_	1gd8	d.188.1.1	Alpha and beta (a+b)	105	bacteria	274	Thermus thermophilus
d1gmua1	1gmu	b.107.1.1	All beta	70	bacteria	548	Klebsiella aerogenes
d1gmua2	1gmu	d.58.38.1	Alpha and beta (a+b)	68	bacteria	548	Klebsiella aerogenes
d1gmxa_	1gmx	c.46.1.3	Alpha and beta (a/b)	108	bacteria	469008	Escherichia coli BL21(DE3)
d1go3e2	1go3	d.230.1.1	Alpha and beta (a+b)	78	archaea	2190	Methanocaldococcus jannaschii
d1gp0a_	1gp0	b.64.1.1	All beta	133	eukaryota	9606	Homo sapiens
d1gpja3	1gpj	d.58.39.1	Alpha and beta (a+b)	143	archaea	2320	Methanopyrus kandleri
d1gpqa_	1gpq	d.233.1.1	Alpha and beta (a+b)	127	bacteria	83333	Escherichia coli K-12
d1gqea_	1gqe	e.38.1.1	Multi-domain proteins (alpha and beta)	362	bacteria	83333	Escherichia coli K-12
d1gqia2	1gqi	d.92.2.2	Alpha and beta (a+b)	147	bacteria	155077	Cellvibrio japonicus
d1gs9a_	1gs9	a.24.1.1	All alpha	144	eukaryota	9606	Homo sapiens
d1gtea1	1gte	a.1.2.2	All alpha	182	eukaryota	9823	Sus scrofa
d1gwea_	1gwe	e.5.1.1	Multi-domain proteins (alpha and beta)	498	bacteria	1270	Micrococcus luteus
d1gxma_	1gxm	a.102.5.1	All alpha	324	bacteria	155077	Cellvibrio japonicus
d1gxua_	1gxu	d.58.10.1	Alpha and beta (a+b)	88	bacteria	562	Escherichia coli
d1gzsb_	1gzs	a.168.1.1	All alpha	165	eukaryota	9606	Homo sapiens
d1h16a_	1h16	c.7.1.1	Alpha and beta (a/b)	759	bacteria	562	Escherichia coli
d1h2ca_	1h2c	b.31.1.1	All beta	124	viruses	205488	Ebola virus sp.
d1h4ra1	1h4r	a.11.2.1	All alpha	111	eukaryota	9606	Homo sapiens
d1h4xa_	1h4x	c.13.2.1	Alpha and beta (a/b)	111	bacteria	1421	Lysinibacillus sphaericus
d1h7ca_	1h7c	a.7.5.1	All alpha	103	eukaryota	9606	Homo sapiens
d1h99a1	1h99	a.142.1.1	All alpha	115	bacteria	1423	Bacillus subtilis
d1hbna1	1hbn	a.89.1.1	All alpha	279	archaea	145262	Methanothermobacter thermautotrophicus
d1hbna2	1hbn	d.58.31.2	Alpha and beta (a+b)	268	archaea	145262	Methanothermobacter thermautotrophicus
d1hc7a3	1hc7	d.68.5.1	Alpha and beta (a+b)	74	bacteria	274	Thermus thermophilus
d1he1a_	1he1	a.24.11.1	All alpha	135	bacteria	287	Pseudomonas aeruginosa
d1hf2a1	1hf2	b.80.3.1	All beta	107	bacteria	2336	Thermotoga maritima
d1hfes_	1hfe	a.137.4.1	All alpha	88	bacteria	882	Desulfovibrio vulgaris str. Hildenborough
d1hi9a_	1hi9	c.99.1.1	Alpha and beta (a/b)	274	bacteria	1423	Bacillus subtilis
d1hp1a1	1hp1	d.114.1.1	Alpha and beta (a+b)	188	bacteria	562	Escherichia coli
d1hq1a_	1hq1	a.36.1.1	All alpha	76	bacteria	562	Escherichia coli
d1hxra_	1hxr	b.88.1.1	All beta	107	eukaryota	10116	Rattus norvegicus
d1hyoa1	1hyo	b.34.8.1	All beta	118	eukaryota	10090	Mus musculus
d1hyoa2	1hyo	d.177.1.1	Alpha and beta (a+b)	298	eukaryota	10090	Mus musculus
d1i1wa_	1i1w	c.1.8.3	Alpha and beta (a/b)	303	eukaryota	5087	Thermoascus aurantiacus
d1i2ta_	1i2t	a.144.1.1	All alpha	61	eukaryota	9606	Homo sapiens
d1i4ja_	1i4j	d.55.1.1	Alpha and beta (a+b)	110	bacteria	274	Thermus thermophilus
d1i71a_	1i71	g.14.1.1	Small proteins	83	eukaryota	9606	Homo sapiens
d1ifra_	1ifr	b.1.16.1	All beta	113	eukaryota	9606	Homo sapiens
d1ijqa1	1ijq	b.68.5.1	All beta	258	eukaryota	9606	Homo sapiens
d1ijya_	1ijy	a.141.1.1	All alpha	122	eukaryota	10090	Mus musculus
d1ik9a1	1ik9	b.59.1.1	All beta	113	eukaryota	9606	Homo sapiens
d1ikpa3	1ikp	f.1.5.1	Membrane and cell surface proteins and peptides	143	bacteria	287	Pseudomonas aeruginosa
d1in0a1	1in0	d.58.49.1	Alpha and beta (a+b)	88	bacteria	727	Haemophilus influenzae
d1io0a_	1io0	c.10.1.1	Alpha and beta (a/b)	166	eukaryota	9031	Gallus gallus
d1io1a_	1io1	e.32.1.1	Multi-domain proteins (alpha and beta)	395	bacteria	90371	Salmonella enterica subsp. enterica serovar Typhimurium
d1ioma_	1iom	a.103.1.1	All alpha	374	bacteria	300852	Thermus thermophilus HB8
d1iqza_	1iqz	d.58.1.4	Alpha and beta (a+b)	81	bacteria	1427	Bacillus thermoproteolyticus
d1irqa_	1irq	a.43.1.4	All alpha	48	bacteria	1314	Streptococcus pyogenes
d1itxa2	1itx	d.26.3.1	Alpha and beta (a+b)	72	bacteria	1397	Bacillus circulans
d1ix9a1	1ix9	a.2.11.1	All alpha	90	bacteria	562	Escherichia coli
d1ix9a2	1ix9	d.44.1.1	Alpha and beta (a+b)	115	bacteria	562	Escherichia coli
d1izma_	1izm	a.199.1.1	All alpha	170	bacteria	727	Haemophilus influenzae
d1j09a1	1j09	a.97.1.1	All alpha	163	bacteria	274	Thermus thermophilus
d1j0pa_	1j0p	a.138.1.1	All alpha	108	bacteria	881	Desulfovibrio vulgaris
d1j27a_	1j27	d.58.50.1	Alpha and beta (a+b)	98	bacteria	300852	Thermus thermophilus HB8
d1j3wa_	1j3w	d.110.7.1	Alpha and beta (a+b)	134	bacteria	300852	Thermus thermophilus HB8
d1j5ua_	1j5u	d.208.1.1	Alpha and beta (a+b)	127	bacteria	2336	Thermotoga maritima
d1j5ya2	1j5y	d.94.2.1	Alpha and beta (a+b)	107	bacteria	2336	Thermotoga maritima
d1j98a_	1j98	d.185.1.2	Alpha and beta (a+b)	154	bacteria	1423	Bacillus subtilis
d1jb0a_	1jb0	f.29.1.1	Membrane and cell surface proteins and peptides	740	bacteria	32046	Synechococcus elongatus
d1jb0d_	1jb0	d.187.1.1	Alpha and beta (a+b)	138	bacteria	32046	Synechococcus elongatus
d1jb0f_	1jb0	f.23.16.1	Membrane and cell surface proteins and peptides	141	bacteria	32046	Synechococcus elongatus
d1jb0j_	1jb0	f.23.18.1	Membrane and cell surface proteins and peptides	41	bacteria	32046	Synechococcus elongatus
d1jb0l_	1jb0	f.31.1.1	Membrane and cell surface proteins and peptides	151	bacteria	32046	Synechococcus elongatus
d1jb3a_	1jb3	b.40.3.2	All beta	127	eukaryota	9031	Gallus gallus
d1jfba_	1jfb	a.104.1.1	All alpha	399	eukaryota	5507	Fusarium oxysporum
d1jhga_	1jhg	a.4.12.1	All alpha	102	bacteria	562	Escherichia coli
d1ji7a_	1ji7	a.60.1.1	All alpha	77	eukaryota	9606	Homo sapiens
d1jida_	1jid	d.201.1.1	Alpha and beta (a+b)	114	eukaryota	9606	Homo sapiens
d1jkea_	1jke	c.110.1.1	Alpha and beta (a/b)	145	bacteria	562	Escherichia coli
d1jlya1	1jly	b.42.3.1	All beta	153	eukaryota	3567	Amaranthus caudatus
d1jnra1	1jnr	a.7.3.1	All alpha	141	archaea	224325	Archaeoglobus fulgidus DSM 4304
d1jo0a_	1jo0	d.68.4.1	Alpha and beta (a+b)	97	bacteria	727	Haemophilus influenzae
d1jofa_	1jof	b.69.10.1	All beta	365	eukaryota	5141	Neurospora crassa
d1josa_	1jos	d.52.7.1	Alpha and beta (a+b)	100	bacteria	727	Haemophilus influenzae
d1jr8a_	1jr8	a.24.15.1	All alpha	105	eukaryota	4932	Saccharomyces cerevisiae
d1js8a2	1js8	b.112.1.1	All beta	101	eukaryota	267067	Enteroctopus dofleini
d1jw9b_	1jw9	c.111.1.1	Alpha and beta (a/b)	240	bacteria	562	Escherichia coli
d1jx4a1	1jx4	d.240.1.1	Alpha and beta (a+b)	101	archaea	2287	Saccharolobus solfataricus
d1k04a_	1k04	a.24.14.1	All alpha	142	eukaryota	9606	Homo sapiens
d1k0ra4	1k0r	d.202.1.1	Alpha and beta (a+b)	326	bacteria	1773	Mycobacterium tuberculosis
d1k1fa_	1k1f	a.147.1.1	All alpha	67	eukaryota	9606	Homo sapiens
d1k32a2	1k32	b.68.7.1	All beta	281	archaea	2303	Thermoplasma acidophilum
d1k32a3	1k32	b.69.9.1	All beta	360	archaea	2303	Thermoplasma acidophilum
d1k3ia3	1k3i	b.69.1.1	All beta	387	eukaryota	29916	Fusarium sp.
d1k3xa1	1k3x	a.156.1.2	All alpha	89	bacteria	562	Escherichia coli
d1k3xa2	1k3x	b.113.1.1	All beta	124	bacteria	562	Escherichia coli
d1k4ia_	1k4i	d.115.1.2	Alpha and beta (a+b)	216	eukaryota	148305	Pyricularia grisea
d1k4ta1	1k4t	a.2.8.1	All alpha	72	eukaryota	9606	Homo sapiens
d1k4za_	1k4z	b.80.5.1	All beta	157	eukaryota	4932	Saccharomyces cerevisiae
d1k5ca_	1k5c	b.80.1.3	All beta	333	eukaryota	58369	Chondrostereum purpureum
d1k5na2	1k5n	d.19.1.1	Alpha and beta (a+b)	181	eukaryota	9606	Homo sapiens
d1k6ka_	1k6k	a.174.1.1	All alpha	142	bacteria	562	Escherichia coli
d1k6ya1	1k6y	a.4.10.1	All alpha	46	viruses	11676	Human immunodeficiency virus 1
d1k7ca_	1k7c	c.23.10.4	Alpha and beta (a/b)	233	eukaryota	5053	Aspergillus aculeatus
d1k8kd1	1k8k	d.198.2.1	Alpha and beta (a+b)	120	eukaryota	9913	Bos taurus
d1k8ke_	1k8k	a.148.1.1	All alpha	173	eukaryota	9913	Bos taurus
d1k8kg_	1k8k	a.118.13.1	All alpha	138	eukaryota	9913	Bos taurus
d1k92a2	1k92	d.210.1.1	Alpha and beta (a+b)	256	bacteria	562	Escherichia coli
d1ka1a_	1ka1	e.7.1.1	Multi-domain proteins (alpha and beta)	354	eukaryota	4932	Saccharomyces cerevisiae
d1kafa_	1kaf	d.199.1.1	Alpha and beta (a+b)	108	viruses	10665	Escherichia virus T4
d1kapp1	1kap	b.80.7.1	All beta	224	bacteria	208964	Pseudomonas aeruginosa PAO1
d1kgsa1	1kgs	a.4.6.1	All alpha	97	bacteria	2336	Thermotoga maritima
d1kjna_	1kjn	c.115.1.1	Alpha and beta (a/b)	152	archaea	145262	Methanothermobacter thermautotrophicus
d1kjqa1	1kjq	b.84.2.1	All beta	74	bacteria	562	Escherichia coli
d1kjqa2	1kjq	c.30.1.1	Alpha and beta (a/b)	111	bacteria	562	Escherichia coli
d1kjqa3	1kjq	d.142.1.2	Alpha and beta (a+b)	203	bacteria	562	Escherichia coli
d1kl9a1	1kl9	a.60.14.1	All alpha	94	eukaryota	9606	Homo sapiens
d1klxa_	1klx	a.118.18.1	All alpha	133	bacteria	210	Helicobacter pylori
d1kmva_	1kmv	c.71.1.1	Alpha and beta (a/b)	185	eukaryota	9606	Homo sapiens
d1knma_	1knm	b.42.2.1	All beta	129	bacteria	1916	Streptomyces lividans
d1knza_	1knz	e.34.1.1	Multi-domain proteins (alpha and beta)	154	viruses	10923	Simian rotavirus A/SA11
d1ko7a1	1ko7	c.98.2.1	Alpha and beta (a/b)	129	bacteria	1288	Staphylococcus xylosus
d1kp6a_	1kp6	d.58.25.1	Alpha and beta (a+b)	79	eukaryota	5270	Ustilago maydis
d1kpta_	1kpt	d.70.1.1	Alpha and beta (a+b)	105	eukaryota	5270	Ustilago maydis
d1kq6a_	1kq6	d.189.1.1	Alpha and beta (a+b)	140	eukaryota	9606	Homo sapiens
d1kqfb2	1kqf	f.23.22.1	Membrane and cell surface proteins and peptides	45	bacteria	562	Escherichia coli
d1kqfc_	1kqf	f.21.1.1	Membrane and cell surface proteins and peptides	216	bacteria	562	Escherichia coli
d1kqpa_	1kqp	c.26.2.1	Alpha and beta (a/b)	271	bacteria	1423	Bacillus subtilis
d1kwfa_	1kwf	a.102.1.2	All alpha	363	bacteria	1515	Hungateiclostridium thermocellum
d1kyfa1	1kyf	b.1.10.1	All beta	133	eukaryota	10090	Mus musculus
d1kyqa2	1kyq	e.37.1.1	Multi-domain proteins (alpha and beta)	123	eukaryota	4932	Saccharomyces cerevisiae
d1l0qa1	1l0q	b.1.3.1	All beta	90	archaea	213585	Methanosarcina mazei S-6
d1l0sa_	1l0s	b.81.2.1	All beta	88	eukaryota	7141	Choristoneura fumiferana
d1l2pa_	1l2p	f.23.21.1	Membrane and cell surface proteins and peptides	61	bacteria	562	Escherichia coli
d1l3ka1	1l3k	d.58.7.1	Alpha and beta (a+b)	84	eukaryota	9606	Homo sapiens
d1l3la2	1l3l	d.110.5.1	Alpha and beta (a+b)	168	bacteria	358	Agrobacterium tumefaciens
d1l3pa_	1l3p	a.24.17.1	All alpha	102	eukaryota	15957	Phleum pratense
d1l5ja1	1l5j	a.118.15.1	All alpha	160	bacteria	562	Escherichia coli
d1l6pa_	1l6p	b.1.17.1	All beta	121	bacteria	562	Escherichia coli
d1l9la_	1l9l	a.64.1.1	All alpha	74	eukaryota	9606	Homo sapiens
d1lfpa_	1lfp	e.39.1.1	Multi-domain proteins (alpha and beta)	243	bacteria	63363	Aquifex aeolicus
d1lg7a_	1lg7	d.213.1.1	Alpha and beta (a+b)	164	viruses	11276	Vesicular stomatitis virus
d1lkka_	1lkk	d.93.1.1	Alpha and beta (a+b)	105	eukaryota	9606	Homo sapiens
d1llaa1	1lla	a.85.1.1	All alpha	99	eukaryota	6850	Limulus polyphemus
d1lm5a_	1lm5	d.211.2.1	Alpha and beta (a+b)	189	eukaryota	9606	Homo sapiens
d1lmia_	1lmi	b.1.19.1	All beta	131	bacteria	1773	Mycobacterium tuberculosis
d1lnsa1	1lns	a.40.2.1	All alpha	145	bacteria	1358	Lactococcus lactis
d1lpba1	1lpb	g.3.10.1	Small proteins	39	eukaryota	9823	Sus scrofa
d1ls1a1	1ls1	a.24.13.1	All alpha	88	bacteria	271	Thermus aquaticus
d1lsha1	1lsh	a.118.4.1	All alpha	336	eukaryota	30308	Ichthyomyzon unicuspis
d1lsha2	1lsh	f.7.1.1	Membrane and cell surface proteins and peptides	268	eukaryota	30308	Ichthyomyzon unicuspis
d1lsla1	1lsl	g.60.1.1	Small proteins	54	eukaryota	9606	Homo sapiens
d1m0ka_	1m0k	f.13.1.1	Membrane and cell surface proteins and peptides	222	archaea	2242	Halobacterium salinarum
d1m15a1	1m15	a.83.1.1	All alpha	94	eukaryota	6850	Limulus polyphemus
d1m15a2	1m15	d.128.1.2	Alpha and beta (a+b)	262	eukaryota	6850	Limulus polyphemus
d1m1eb_	1m1e	a.161.1.1	All alpha	65	eukaryota	10090	Mus musculus
d1m1fa_	1m1f	b.34.6.2	All beta	107	bacteria	562	Escherichia coli
d1m1ha1	1m1h	b.114.1.1	All beta	81	bacteria	63363	Aquifex aeolicus
d1m22a_	1m22	c.117.1.1	Alpha and beta (a/b)	487	bacteria	40324	Stenotrophomonas maltophilia
d1m55a_	1m55	d.89.1.3	Alpha and beta (a+b)	193	viruses	82300	Adeno-associated virus - 5
d1m56d_	1m56	f.23.8.1	Membrane and cell surface proteins and peptides	42	bacteria	1063	Rhodobacter sphaeroides
d1m6ya1	1m6y	a.60.13.1	All alpha	101	bacteria	2336	Thermotoga maritima
d1mc2a_	1mc2	a.133.1.2	All alpha	122	eukaryota	36307	Deinagkistrodon acutus
d1mf7a_	1mf7	c.62.1.1	Alpha and beta (a/b)	194	eukaryota	9606	Homo sapiens
d1mg4a_	1mg4	d.15.11.1	Alpha and beta (a+b)	101	eukaryota	9606	Homo sapiens
d1mj4a_	1mj4	d.120.1.1	Alpha and beta (a+b)	79	eukaryota	9606	Homo sapiens
d1mk0a_	1mk0	d.226.1.1	Alpha and beta (a+b)	97	viruses	10665	Escherichia virus T4
d1mkfa_	1mkf	b.116.1.1	All beta	371	viruses	33708	Murid gammaherpesvirus 4
d1mkya3	1mky	d.52.5.1	Alpha and beta (a+b)	81	bacteria	2336	Thermotoga maritima
d1mlaa2	1mla	d.58.23.1	Alpha and beta (a+b)	70	bacteria	562	Escherichia coli
d1mtyg_	1mty	a.23.3.1	All alpha	162	bacteria	243233	Methylococcus capsulatus str. Bath
d1muwa_	1muw	c.1.15.3	Alpha and beta (a/b)	386	bacteria	1963	Streptomyces olivochromogenes
d1mv8a3	1mv8	c.26.3.1	Alpha and beta (a/b)	136	bacteria	287	Pseudomonas aeruginosa
d1mvfd_	1mvf	b.129.1.1	All beta	44	eukaryota	9838	Camelus dromedarius
d1mw5a_	1mw5	d.259.1.1	Alpha and beta (a+b)	162	bacteria	727	Haemophilus influenzae
d1mwpa_	1mwp	d.170.2.1	Alpha and beta (a+b)	96	eukaryota	9606	Homo sapiens
d1mwqa_	1mwq	d.58.4.7	Alpha and beta (a+b)	99	bacteria	727	Haemophilus influenzae
d1n3la_	1n3l	c.26.1.1	Alpha and beta (a/b)	332	eukaryota	9606	Homo sapiens
d1n4wa2	1n4w	d.16.1.1	Alpha and beta (a+b)	132	bacteria	74576	Streptomyces sp. SA-COO
d1n5ua1	1n5u	a.126.1.1	All alpha	195	eukaryota	9606	Homo sapiens
d1n62a1	1n62	a.56.1.1	All alpha	82	bacteria	504832	Oligotropha carboxidovorans OM5
d1n62b1	1n62	d.41.1.1	Alpha and beta (a+b)	141	bacteria	504832	Oligotropha carboxidovorans OM5
d1n62b2	1n62	d.133.1.1	Alpha and beta (a+b)	663	bacteria	504832	Oligotropha carboxidovorans OM5
